"","gene_ID","CSDE1_vs_IgG_log2FoldChange","CSDE1_vs_IgG_pvalue","CSDE1_vs_IgG_padj","CSDE1_vs_Capture_log2FoldChange","CSDE1_vs_Capture_pvalue","CSDE1_vs_Capture_padj","GENE_NAME"
"2583","ENSMUSG00000021078.5",-2.60667286419586,0.0500914483522475,0.100237575722454,-1.30215419412447,0.319426387221579,0.442208467795347,"Tomm20l"
"2584","ENSMUSG00000021079.16",-1.24995160730485,8.85345029017725e-07,5.75537059289111e-06,-1.26463392209619,2.64725061204564e-07,1.95289328853202e-06,"Timm9"
"2585","ENSMUSG00000021087.18",2.56182252196376,2.57843874007798e-35,5.19427900913292e-33,1.00281157318268,1.08369251897445e-06,7.20574945877388e-06,"Rtn1"
"2586","ENSMUSG00000021090.16",-0.12679301405077,0.726610044134551,0.806747945555968,-0.859877545387173,0.00900942183654181,0.0244610072730279,"Lrrc9"
"2587","ENSMUSG00000021091.8",5.37508170622784,0.000128144801215464,0.000543658990021263,0.257901541379014,0.740137232223327,0.813343468476084,"Serpina3n"
"2588","ENSMUSG00000021094.10",-1.09355711988413,6.31353393422045e-07,4.2071866260316e-06,0.0158810887595298,0.941426381374379,0.960627699958372,"Dhrs7"
"2589","ENSMUSG00000021096.11",0.923703087875807,4.1021706691439e-05,0.000193169773199964,0.322474280574793,0.148652041114171,0.24501791203965,"Ppm1a"
"2590","ENSMUSG00000021097.15",-0.665196974284017,0.0136213357010734,0.0334368406631063,-0.0772222565821743,0.770878507567444,0.836940764034729,"Clmn"
"2591","ENSMUSG00000021098.14",-4.66728815892416,2.8674843234641e-08,2.36573909170765e-07,-3.19762876643117,0.00013674222554984,0.000599990061938646,"4930447C04Rik"
"2592","ENSMUSG00000021099.6",-1.38197794433781,0.0355872031316907,0.0750730273659555,-2.08916539959163,0.000662545350437834,0.0024696586751172,"Six6"
"2593","ENSMUSG00000021102.4",1.44328514120483,6.31265105280201e-08,4.97307774387479e-07,0.96072009565643,0.000200928649756176,0.000847738551744584,"Glrx5"
"2594","ENSMUSG00000021103.12",-1.43831703253005,6.56032431968122e-05,0.000297904051098331,-0.900238401438254,0.0104635185928264,0.0277714236055732,"Mnat1"
"2595","ENSMUSG00000021108.18",0.437514472854645,0.0587616289059512,0.114012179884079,1.19588780292933,9.74283925370261e-08,7.72322114059137e-07,"Prkch"
"2596","ENSMUSG00000021109.13",0.0618143672727706,0.832299268423311,0.888212259211557,-0.135382466982014,0.638981355290731,0.734546071686817,"Hif1a"
"2597","ENSMUSG00000021111.15",0.00825734644818749,0.967996919318219,0.981109057607209,-0.873242765896358,1.56673741992594e-05,8.34925301804719e-05,"Papola"
"2598","ENSMUSG00000021112.9",-0.226890213306958,0.595824449432981,0.699094585701831,-1.40117476393249,0.000759145939266465,0.00278779314075177,"Mpp5"
"2599","ENSMUSG00000021113.5",-0.908935246696033,0.00151383558402864,0.00491963019436502,-0.87483667943317,0.00188902650577834,0.00624369679427085,"Snapc1"
"2600","ENSMUSG00000021114.9",0.195553917256988,0.284766046221124,0.401023788400678,-0.172215375483678,0.334030085831157,0.457143675510024,"Atp6v1d"
"2601","ENSMUSG00000021115.15",-0.438667531498704,0.120444946639291,0.204122036025903,-0.521154562662619,0.0589886584378581,0.11745194813542,"Vrk1"
"2602","ENSMUSG00000021116.10",-1.09298077886785,0.00204168872960351,0.00642875949692399,-1.42602221928822,4.29222846328123e-05,0.000209829054794147,"Eif2s1"
"2603","ENSMUSG00000021118.7",-1.04153068921196,0.487868882540206,0.602872420271456,-0.35048821850434,0.81136324996152,0.86723287844992,"Plek2"
"2604","ENSMUSG00000021120.11",-0.207880452700225,0.569697638439854,0.677059024493158,-1.41719948454156,3.99824789658997e-05,0.000196609121352702,"Pigh"
"2605","ENSMUSG00000021123.12",-2.03361781193082,7.92970774042335e-05,0.000353004862305587,-2.11311564576174,2.97360326346562e-05,0.000150544311035216,"Rdh12"
"2606","ENSMUSG00000021124.13",0.188519978621233,0.508702827426535,0.621992945533466,-0.256410661932694,0.361858659315574,0.485230995726216,"Vti1b"
"2607","ENSMUSG00000021125.6",0.386716641428546,0.402421884454681,0.520804658370858,-0.495375561073853,0.249529154267633,0.367307945572936,"Arg2"
"2608","ENSMUSG00000021127.7",0.00259583856786975,0.995241393351777,0.998345566233914,-0.220353624855388,0.606835914405718,0.70730645872874,"Zfp36l1"
"2609","ENSMUSG00000021130.8",0.437533357646398,0.000501068268675636,0.00184227507046967,0.640856020473028,1.5717175416894e-07,1.20303657512527e-06,"Galnt16"
"2610","ENSMUSG00000021131.14",0.262613745108942,0.31880500799871,0.436307085228246,-0.814926567063754,0.00121905165595177,0.00424618182726732,"Erh"
"2611","ENSMUSG00000021133.9",-0.191295782932148,0.29965695564835,0.416254551105975,0.339057210708304,0.0626877432389885,0.123079330519132,"Susd6"
"2612","ENSMUSG00000021134.17",-0.92511317909374,9.95108471061114e-06,5.35593907559963e-05,-1.37318091701229,4.3440510208515e-11,5.91203736557162e-10,"Srsf5"
"2613","ENSMUSG00000021135.8",-0.566911007846133,0.54373360668109,0.653921437884783,-2.3755680070881,0.00615495047520964,0.0175819026751546,"Slc10a1"
"2614","ENSMUSG00000021136.13",0.205033709814186,0.354248782056267,0.472916448634976,1.38053800868948,2.66258797415806e-10,3.21969411228664e-09,"Smoc1"
"2615","ENSMUSG00000021139.17",-0.381698998943045,0.513101836372139,0.625785567452202,-0.828412154804286,0.146718484766485,0.242671787554566,"Gm20498"
"2616","ENSMUSG00000021140.9",1.16972230445509,8.46938706756592e-10,8.90767663354094e-09,1.64172491078161,5.36929811361499e-18,1.7452122875672e-16,"Pcnx"
"2617","ENSMUSG00000021143.10",0.954541772928331,2.11295578086707e-10,2.44194544972072e-09,0.772036334498177,1.89149752363876e-07,1.42759213568707e-06,"Pacs2"
"2618","ENSMUSG00000021144.14",1.59140739777767,1.98332685105138e-20,7.62229514328594e-19,0.969409021813415,7.12895646890002e-09,6.88919504416843e-08,"Mta1"
